,20150917,20060814,20141204,20101206,20130502,19850808,20150226,19840926,19890218,20060420
12875-99-2,"['19970912', 31808, 468102, 98.623, 46.378, 97.064]","['20080809', 28298, 425152, 98.671, 44.176, 97.2]","['20121204', 23512, 369165, 98.851, 40.965, 97.609]","['20111208', 32729, 503271, 98.544, 48.734, 96.974]","['19910501', 22547, 343162, 99.148, 38.795, 98.201]","['19860802', 16011, 240513, 98.624, 31.12, 97.127]","['19910223', 26114, 410885, 98.866, 42.495, 97.52]","['19901001', 19545, 292788, 98.548, 35.377, 96.949]","['20080220', 18410, 285771, 98.724, 34.021, 97.216]","['20010423', 23458, 376471, 98.939, 40.84, 97.73]"
12875-80-4,"['19970909', 2187, 486064, 98.575, 47.339, 96.963]","['20120811', 1804, 417876, 98.565, 43.635, 96.953]","['20121204', 1426, 369165, 98.851, 40.965, 97.609]","['20111207', 2155, 503099, 98.553, 48.727, 96.994]","['19910502', 1504, 346675, 99.135, 39.047, 98.173]","['19860802', 973, 240513, 98.624, 31.12, 97.127]","['19910224', 1592, 406287, 98.856, 42.226, 97.5]","['19880928', 1193, 287741, 98.504, 35.119, 96.874]","['19900214', 976, 236008, 98.889, 29.791, 97.57]","['20010422', 1234, 373257, 98.949, 40.628, 97.752]"
12875-80-4,"['19970909', 2187, 486064, 98.575, 47.339, 96.963]","['20120811', 1804, 417876, 98.565, 43.635, 96.953]","['20121204', 1426, 369165, 98.851, 40.965, 97.609]","['20111207', 2155, 503099, 98.553, 48.727, 96.994]","['19910502', 1504, 346675, 99.135, 39.047, 98.173]","['19860802', 973, 240513, 98.624, 31.12, 97.127]","['19910224', 1592, 406287, 98.856, 42.226, 97.5]","['19880928', 1193, 287741, 98.504, 35.119, 96.874]","['19900214', 976, 236008, 98.889, 29.791, 97.57]","['20010422', 1234, 373257, 98.949, 40.628, 97.752]"
12875-80-3,"['19970912', 8311, 468102, 98.623, 46.378, 97.064]","['20120811', 7067, 417876, 98.565, 43.635, 96.953]","['20121204', 5786, 369165, 98.851, 40.965, 97.609]","['20111207', 8157, 503099, 98.553, 48.727, 96.994]","['19910501', 5692, 343162, 99.148, 38.795, 98.201]","['19860802', 4043, 240513, 98.624, 31.12, 97.127]","['19910223', 6355, 410885, 98.866, 42.495, 97.52]","['19880929', 4687, 289366, 98.494, 35.259, 96.856]","['19900215', 3947, 235901, 98.921, 29.777, 97.641]","['20010423', 5513, 376471, 98.939, 40.84, 97.73]"
12875-80-2,"['19970912', 31808, 468102, 98.623, 46.378, 97.064]","['20120811', 28064, 417876, 98.565, 43.635, 96.953]","['20121204', 23512, 369165, 98.851, 40.965, 97.609]","['20111208', 32729, 503271, 98.544, 48.734, 96.974]","['19910501', 22547, 343162, 99.148, 38.795, 98.201]","['19860802', 16011, 240513, 98.624, 31.12, 97.127]","['20030215', 29925, 476329, 98.931, 46.161, 97.666]","['19880929', 18885, 289366, 98.494, 35.259, 96.856]","['19900214', 15773, 236008, 98.889, 29.791, 97.57]","['20010423', 23458, 376471, 98.939, 40.84, 97.73]"
12875-80-1,"['19970912', 122643, 468102, 98.623, 46.378, 97.064]","['20120812', 109355, 418038, 98.506, 43.654, 96.828]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111208', 129529, 503271, 98.544, 48.734, 96.974]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['20030217', 122842, 484202, 98.906, 46.575, 97.613]","['19880929', 74804, 289366, 98.494, 35.259, 96.856]","['19900214', 61973, 236008, 98.889, 29.791, 97.57]","['20010423', 95589, 376471, 98.939, 40.84, 97.73]"
12875-95-4,"['19970912', 2079, 468102, 98.623, 46.378, 97.064]","['20010827', 1905, 416186, 98.79, 43.59, 97.447]","['20121204', 1426, 369165, 98.851, 40.965, 97.609]","['20111207', 2155, 503099, 98.553, 48.727, 96.994]","['19910501', 1524, 343162, 99.148, 38.795, 98.201]","['19860802', 973, 240513, 98.624, 31.12, 97.127]","['19910226', 1547, 400966, 98.864, 41.887, 97.514]","['19900929', 1225, 282621, 98.583, 34.539, 97.019]","['19900211', 957, 235128, 98.867, 29.735, 97.526]","['20010420', 1220, 368872, 98.998, 40.314, 97.854]"
12875-95-3,"['19970912', 8311, 468102, 98.623, 46.378, 97.064]","['20120811', 7067, 417876, 98.565, 43.635, 96.953]","['20121204', 5786, 369165, 98.851, 40.965, 97.609]","['20111207', 8157, 503099, 98.553, 48.727, 96.994]","['19910501', 5692, 343162, 99.148, 38.795, 98.201]","['19860802', 4043, 240513, 98.624, 31.12, 97.127]","['19910226', 6216, 400966, 98.864, 41.887, 97.514]","['19900930', 4713, 284461, 98.572, 34.694, 96.998]","['19900215', 3947, 235901, 98.921, 29.777, 97.641]","['20010420', 5403, 368872, 98.998, 40.314, 97.854]"
12875-95-2,"['19970912', 31808, 468102, 98.623, 46.378, 97.064]","['20120811', 28064, 417876, 98.565, 43.635, 96.953]","['20121204', 23512, 369165, 98.851, 40.965, 97.609]","['20111207', 32643, 503099, 98.553, 48.727, 96.994]","['19910501', 22547, 343162, 99.148, 38.795, 98.201]","['19860802', 16011, 240513, 98.624, 31.12, 97.127]","['19910226', 25615, 400966, 98.864, 41.887, 97.514]","['19900930', 18681, 284461, 98.572, 34.694, 96.998]","['19900215', 15686, 235901, 98.921, 29.777, 97.641]","['20010420', 22993, 368872, 98.998, 40.314, 97.854]"
12875-95-1,"['19970912', 122643, 468102, 98.623, 46.378, 97.064]","['20120811', 109414, 417876, 98.565, 43.635, 96.953]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111207', 129427, 503099, 98.553, 48.727, 96.994]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['19910225', 103172, 402918, 98.88, 42.005, 97.551]","['19830924', 72329, 278048, 98.889, 34.217, 97.678]","['19900211', 61249, 235128, 98.867, 29.735, 97.526]","['20010420', 93801, 368872, 98.998, 40.314, 97.854]"
12875-99-4,"['19970912', 2079, 468102, 98.623, 46.378, 97.064]","['20010827', 1905, 416186, 98.79, 43.59, 97.447]","['20121204', 1426, 369165, 98.851, 40.965, 97.609]","['20111207', 2155, 503099, 98.553, 48.727, 96.994]","['19910501', 1524, 343162, 99.148, 38.795, 98.201]","['19860802', 973, 240513, 98.624, 31.12, 97.127]","['19910226', 1547, 400966, 98.864, 41.887, 97.514]","['19900929', 1225, 282621, 98.583, 34.539, 97.019]","['19900211', 957, 235128, 98.867, 29.735, 97.526]","['20010420', 1220, 368872, 98.998, 40.314, 97.854]"
12875-99-3,"['19970912', 8311, 468102, 98.623, 46.378, 97.064]","['20120811', 7067, 417876, 98.565, 43.635, 96.953]","['20121204', 5786, 369165, 98.851, 40.965, 97.609]","['20111207', 8157, 503099, 98.553, 48.727, 96.994]","['19910501', 5692, 343162, 99.148, 38.795, 98.201]","['19860802', 4043, 240513, 98.624, 31.12, 97.127]","['19910226', 6216, 400966, 98.864, 41.887, 97.514]","['19900930', 4713, 284461, 98.572, 34.694, 96.998]","['19900215', 3947, 235901, 98.921, 29.777, 97.641]","['20010420', 5403, 368872, 98.998, 40.314, 97.854]"
12875-99-2,"['19970912', 31808, 468102, 98.623, 46.378, 97.064]","['20120811', 28064, 417876, 98.565, 43.635, 96.953]","['20121204', 23512, 369165, 98.851, 40.965, 97.609]","['20111207', 32643, 503099, 98.553, 48.727, 96.994]","['19910501', 22547, 343162, 99.148, 38.795, 98.201]","['19860802', 16011, 240513, 98.624, 31.12, 97.127]","['19910226', 25615, 400966, 98.864, 41.887, 97.514]","['19830924', 18390, 278048, 98.889, 34.217, 97.678]","['19900215', 15686, 235901, 98.921, 29.777, 97.641]","['20010420', 22993, 368872, 98.998, 40.314, 97.854]"
12875-99-1,"['19970912', 122643, 468102, 98.623, 46.378, 97.064]","['20120811', 109414, 417876, 98.565, 43.635, 96.953]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111207', 129427, 503099, 98.553, 48.727, 96.994]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['19910226', 102673, 400966, 98.864, 41.887, 97.514]","['19830924', 72329, 278048, 98.889, 34.217, 97.678]","['19900211', 61249, 235128, 98.867, 29.735, 97.526]","['20010420', 93801, 368872, 98.998, 40.314, 97.854]"
