,고윳값,기여율,누적기여율
pca90,1.3372108738404558,0.00013087205394681411,0.9843199582399235
pca91,1.2893146797445922,0.00012618448116365351,0.9844461427210871
pca92,1.2645452614626507,0.0001237603125384646,0.9845699030336256
pca93,1.2329917147972669,0.00012067218519655511,0.9846905752188221
pca94,1.1997351584663212,0.00011741738528475894,0.9848079926041069
pca95,1.1848477410185343,0.00011596036235930225,0.9849239529664662
pca96,1.1598343675173253,0.00011351231797805936,0.9850374652844442
pca97,1.15218097730194,0.00011276328510916913,0.9851502285695534
pca98,1.1394425894543483,0.00011151658646634583,0.9852617451560197
pca99,1.1085864744237204,0.00010849671635470086,0.9853702418723744
pca100,1.087532841689696,0.00010643620950956106,0.985476678081884
pca101,1.0854824545687327,0.00010623553930925383,0.9855829136211932
pca102,1.0662749423020212,0.00010435571120530358,0.9856872693323985
pca103,1.063160324802526,0.00010405088539406339,0.9857913202177926
pca104,1.041958125998099,0.00010197583847363644,0.9858932960562662
pca105,1.0292459257194027,0.00010073170279301772,0.9859940277590592
pca106,1.0200460201314498,9.98313133600824e-05,0.9860938590724193
pca107,1.0057108410558944,9.842833768435724e-05,0.9861922874101037
pca108,0.9968633692267503,9.756244073932925e-05,0.986289849850843
pca109,0.9904094208332181,9.69307965470393e-05,0.98638678064739
pca110,0.9679606269215655,9.473374608527553e-05,0.9864815143934753
pca111,0.9406180869613514,9.205774753133092e-05,0.9865735721410066
pca112,0.9329814960305471,9.131035879869547e-05,0.9866648824998053
pca113,0.9175166255901376,8.979682088320941e-05,0.9867546793206885
pca114,0.9111568296254687,8.917439133461589e-05,0.9868438537120231
pca115,0.9024407052770748,8.832134929147568e-05,0.9869321750613146
pca116,0.8883597042017598,8.694324986945913e-05,0.987019118311184
pca117,0.8788601355332555,8.601353258434207e-05,0.9871051318437684
pca118,0.8702980592177365,8.517556713298199e-05,0.9871903074109013
pca119,0.8629596385339964,8.445736014977924e-05,0.987274764771051
pca120,0.845833747038537,8.278125906540497e-05,0.9873575460301164
pca121,0.8226680877350316,8.051404940282219e-05,0.9874380600795192
pca122,0.8191725439346047,8.017194255507491e-05,0.9875182320220742
pca123,0.8014267444758645,7.843517143727536e-05,0.9875966671935115
pca124,0.7973265401954566,7.803388681846474e-05,0.98767470108033
pca125,0.7966986481327809,7.797243538585467e-05,0.9877526735157158
pca126,0.7780556181174967,7.614785283300334e-05,0.9878288213685489
pca127,0.7731238644713678,7.566518495925588e-05,0.9879044865535082
pca128,0.7650721350749075,7.487716686536141e-05,0.9879793637203735
pca129,0.7629728896351166,7.467171492968062e-05,0.9880540354353032
pca130,0.7484042684514087,7.324589240999896e-05,0.9881272813277132
pca131,0.7285281823449166,7.130063137146906e-05,0.9881985819590847
pca132,0.7258228551564629,7.103586256598197e-05,0.9882696178216507
pca133,0.7180608514335639,7.02761997560011e-05,0.9883398940214067
pca134,0.7110541273741812,6.959045572936422e-05,0.9884094844771361
pca135,0.703792711063715,6.887978511958649e-05,0.9884783642622557
pca136,0.6970242536244583,6.821736010909947e-05,0.9885465816223648
pca137,0.6832131802009742,6.686567835007327e-05,0.9886134473007149
pca138,0.6727906908010498,6.584563534736454e-05,0.9886792929360623
pca139,0.6695659859697737,6.553003535270605e-05,0.988744822971415
pca140,0.6670153191842045,6.528040307129731e-05,0.9888101033744863
pca141,0.6516341478981893,6.377505674358809e-05,0.9888738784312299
pca142,0.6477478182932894,6.339470391543105e-05,0.9889372731351453
pca143,0.642590350855921,6.288994556362845e-05,0.9890001630807089
pca144,0.6356046364062067,6.220625773532478e-05,0.9890623693384443
pca145,0.6304074037384386,6.169760758344795e-05,0.9891240669460277
pca146,0.6182951869327047,6.0512191937923786e-05,0.9891845791379656
pca147,0.6159864294510978,6.028623518002278e-05,0.9892448653731457
pca148,0.60779805013904,5.948484323801224e-05,0.9893043502163837
pca149,0.6052116255661094,5.9231711362659034e-05,0.9893635819277464
pca150,0.6026843031279995,5.898436377901922e-05,0.9894225662915255
pca151,0.5890757836099779,5.765250585343726e-05,0.9894802187973789
pca152,0.578313942554709,5.659925070071239e-05,0.9895368180480796
pca153,0.575253018344888,5.6299679820642946e-05,0.9895931177279003
pca154,0.5669602738435784,5.5488073717990196e-05,0.9896486058016183
pca155,0.5578616757753905,5.459759919335487e-05,0.9897032034008116
pca156,0.5561616116813206,5.443121490484459e-05,0.9897576346157165
pca157,0.5497606964005788,5.3804761032596034e-05,0.9898114393767491
pca158,0.5447203049221675,5.331146083710689e-05,0.9898647508375862
pca159,0.5391780375179533,5.2769042335357167e-05,0.9899175198799215
pca160,0.5308561785657961,5.19545868182579e-05,0.9899694744667398
pca161,0.5295653343358597,5.182825264090261e-05,0.9900213027193807
