,dense,channel,extract_num,error,encoding_t,sampling_t,extract_t,compare_t,total_t,calc_total
4,128,64,10.0,0,0.013,2.212,0.143,525.593,528.0,525.736
4,256,32,0.1,0,0.04,2.66,0.196,9.239,12.172,9.435
4,256,32,1.0,0,0.028,2.68,0.197,54.857,57.798,55.054
4,256,32,5.0,0,0.028,2.685,0.196,264.873,267.821,265.069
4,256,32,10.0,0,0.028,2.676,0.196,525.697,528.636,525.893
4,256,64,0.1,0,0.028,2.697,0.195,9.013,11.968,9.208
4,256,64,1.0,0,0.028,2.908,0.196,54.805,57.974,55.001
4,256,64,5.0,0,0.037,2.664,0.196,264.891,267.828,265.08700000000005
4,256,64,10.0,0,0.028,2.676,0.196,525.809,528.747,526.005
256,64,32,0.1,0,0.008,1.855,0.135,9.181,11.217,9.316
256,64,32,1.0,0,0.007,1.861,0.135,54.806,56.853,54.941
256,64,32,5.0,0,0.007,1.856,0.136,265.16,267.204,265.29600000000005
256,64,32,10.0,0,0.007,1.861,0.134,526.954,529.001,527.088
256,64,64,0.1,0,0.007,1.859,0.134,8.839,10.883,8.973
256,64,64,1.0,0,0.007,2.08,0.135,54.763,57.028,54.898
256,64,64,5.0,0,0.008,1.867,0.135,265.211,267.268,265.346
256,64,64,10.0,0,0.007,1.862,0.135,526.646,528.696,526.781
256,128,32,0.1,0,0.017,2.093,0.167,9.182,11.502,9.349
256,128,32,1.0,0,0.013,2.108,0.165,54.925,57.257,55.09
256,128,32,5.0,0,0.013,2.104,0.166,265.405,267.734,265.571
256,128,32,10.0,0,0.013,2.105,0.167,526.811,529.141,526.9780000000001
256,128,64,0.1,0,0.013,2.1,0.168,8.97,11.296,9.138
256,128,64,1.0,0,0.013,2.314,0.166,54.956,57.494,55.122
256,128,64,5.0,0,0.013,2.098,0.166,265.191,267.514,265.357
256,128,64,10.0,0,0.014,2.097,0.167,526.886,529.21,527.053
256,256,32,0.1,0,0.032,2.549,0.218,8.885,11.727,9.103
256,256,32,1.0,0,0.027,2.775,0.219,54.884,57.95,55.103
256,256,32,5.0,0,0.028,2.549,0.218,265.198,268.04,265.416
256,256,32,10.0,0,0.028,2.545,0.219,526.874,529.712,527.0930000000001
256,256,64,0.1,0,0.028,2.533,0.22,8.93,11.757,9.15
256,256,64,1.0,0,0.025,2.772,0.218,54.799,57.859,55.017
256,256,64,5.0,0,0.037,2.539,0.22,265.275,268.119,265.495
256,256,64,10.0,0,0.028,2.55,0.219,526.772,529.616,526.9910000000001
64,64,32,0.1,0,0.008,1.858,0.134,9.213,11.257,9.347
64,64,32,1.0,0,0.007,1.858,0.133,54.879,56.921,55.012
64,64,32,5.0,0,0.007,1.866,0.134,265.451,267.506,265.58500000000004
64,64,32,10.0,0,0.007,1.865,0.134,526.894,528.947,527.028
64,64,64,0.1,0,0.007,1.856,0.135,8.917,10.959,9.052
64,64,64,1.0,0,0.007,2.078,0.133,54.792,57.055,54.925
64,64,64,5.0,0,0.008,1.864,0.135,265.134,267.188,265.269
64,64,64,10.0,0,0.007,1.866,0.135,526.779,528.834,526.914
64,128,32,0.1,0,0.016,2.111,0.165,9.075,11.412,9.239999999999998
64,128,32,1.0,0,0.013,2.102,0.165,54.755,57.081,54.92
64,128,32,5.0,0,0.016,2.098,0.168,265.225,267.556,265.39300000000003
64,128,32,10.0,0,0.013,2.103,0.166,526.894,529.223,527.0600000000001
64,128,64,0.1,0,0.016,2.093,0.166,9.199,11.518,9.365
64,128,64,1.0,0,0.013,2.099,0.166,54.872,57.196,55.038
64,128,64,5.0,0,0.013,2.098,0.167,265.358,267.684,265.525
64,128,64,10.0,0,0.013,2.103,0.167,526.514,528.845,526.681
64,256,32,0.1,0,0.031,2.547,0.218,8.897,11.739,9.115
64,256,32,1.0,0,0.024,2.761,0.218,54.909,57.959,55.127
64,256,32,5.0,0,0.037,2.536,0.217,265.356,268.194,265.573
64,256,32,10.0,0,0.028,2.546,0.219,527.148,529.988,527.3670000000001
64,256,64,0.1,0,0.037,2.525,0.218,9.079,11.906,9.297
64,256,64,1.0,0,0.025,2.562,0.235,54.787,57.654,55.022
64,256,64,5.0,0,0.028,2.545,0.217,265.406,268.244,265.623
64,256,64,10.0,0,0.028,2.544,0.22,527.229,530.07,527.4490000000001
16,64,32,0.1,0,0.007,1.857,0.133,8.921,10.963,9.053999999999998
16,64,32,1.0,0,0.007,2.079,0.133,54.84,57.104,54.973000000000006
16,64,32,5.0,0,0.008,1.861,0.133,265.242,267.294,265.375
16,64,32,10.0,0,0.007,1.872,0.134,526.573,528.633,526.707
16,64,64,0.1,0,0.008,1.859,0.136,9.216,11.265,9.352
16,64,64,1.0,0,0.007,1.866,0.134,54.871,56.923,55.005
16,64,64,5.0,0,0.007,1.86,0.135,264.998,267.049,265.133
16,64,64,10.0,0,0.007,1.868,0.133,526.577,528.633,526.71
16,128,32,0.1,0,0.014,2.103,0.166,8.856,11.185,9.022
16,128,32,1.0,0,0.013,2.317,0.165,54.857,57.397,55.022
16,128,32,5.0,0,0.016,2.094,0.165,265.227,267.551,265.392
16,128,32,10.0,0,0.013,2.097,0.166,526.867,529.192,527.033
16,128,64,0.1,0,0.016,2.085,0.166,9.165,11.477,9.331
16,128,64,1.0,0,0.013,2.101,0.168,54.976,57.304,55.144
16,128,64,5.0,0,0.013,2.091,0.165,265.508,267.827,265.673
16,128,64,10.0,0,0.013,2.103,0.165,526.93,529.259,527.0949999999999
16,256,32,0.1,0,0.031,2.543,0.232,8.891,11.742,9.123
16,256,32,1.0,0,0.025,2.768,0.218,54.93,57.988,55.148
16,256,32,5.0,0,0.028,2.544,0.219,265.53,268.371,265.74899999999997
