,19840322,19850720,19870809,19880517,19850524,19830517,19870328,19840205,19850813,19881215,19870506,19830706,19890228,19890820,19860413,19891110,19860328,19850330,19860804,19830914,19830315,19850801,19820603,19870216,19870304,19891214,19880616,19880926,19860211,19890209,19841111,19860430,19841229,19880617,19880911,19890224,19871112,19880603,19811005,19880906,19880504,19870101,19840409,19860418,19870406,19860811,19851201,19820606,19880224,19891002,19881113,19861217,19820905,19820501,19860121,19821024,19860809,19840423,19870615,19891013,19820514,19881111,19890518,19851005,19870315,19850530,19840529,19880107,19811126,19850611,19860206,19880805,19840607,19850630,19841015,19811110,19830130,19830203,19850520,19860915,19850418,19891011,19840718,19841024,19850930,19860922,19870325,19840814,19850404,19870625,19860605,19870901,19811216,19831221,19880215,19851125,19831215,19850613,19850301,19820206,19880512,19840811,19820917,19811013,19830421,19860706,19820519,19880323,19840114,19821229,19821123,19890320,19850121,19820328,19840604,19811207,19811230,19890703,19871017,19840515,19850824,19811214,19860304,19880114,19840115,19841123,19840104,19821225,19811129,19831014,19891121,19890624,19850320,19890219,19830605,19870604,19821014,19870316,19840427,19891029,19830915,19880803,19840318,19890519,19840712,19851203,19831202,19870403,19831229,19860929,19861027,19841017,19890911,19870220,19831013,19840820,19851202,19860908,19841028,19831223,19870919,19880112,19860415,19850114,19830425,19860710,19841215,19850929,19820802,19890308,19820628,19880523,19860603,19841016,19850713,19870308,19830709,19820610,19890114,19830311,19880609,19861129,19861106,19831128,19860210,19820121,19831204,19830804,19870107,19820315,19821106,19870702,19860314,19841022,19811124,19830118,19840904,19840702,19830518,19880305,19880106,19831106,19820122,19850523,19820118,19870528,19870830,19840624,19860115,19860310,19870819,19811028,19830527,19860323,19831207,19840611,19860719,19830423,19840419,19820317,19850726,19870504,19860610,19851209,19861030,19890629,19850502,19830328,19830705,19861128,19881221,19870523,19831115,19820926,19860628,19870106,19820604,19841009,19860512,19850109,19820705,19860727,19861210,19840506,19860422,19870705,19840222,19860714,19880828,19820224,19820702,19890726,19871216,19811106,19830816,19860112,19840616,19830525,19871016,19850227,19860510,19830711,19820807,19820423,19821016,19830108,19831001,19820724,19851013,19830814,19840927,19851118,19861031,19850901,19860502,19890704,19860111,19820924,19860215,19811027,19880628,19850818,19880626,19850401,19870701,19861110,19850126,19830212,19871123,19831230,19890316,19840805,19820719
5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['19861224', 230145]","['19850209', 292571]",,,,,,"['19880430', 194536]","['19890812', 343374]","['19820729', 329805]","['19881017', 299133]","['19830501', 175893]","['19820707', 219622]","['19870524', 236462]","['19880401', 132355]","['19860115', 209023]","['19861231', 257095]","['19871118', 269024]","['19890401', 110646]","['19850201', 106815]","['19820401', 58568]","['19850601', 346426]","['19881210', 218527]","['19881231', 224561]","['19850630', 292983]","['19871101', 281412]","['19850515', 275470]","['19860814', 258285]","['19891217', 219339]","['19820224', 242743]","['19860115', 368928]","['19840201', 207221]","['19891201', 240738]","['19860101', 235704]","['19861226', 263163]","['19891201', 193000]","['19851012', 213845]","['19891201', 202730]","['19850626', 265031]","['19850401', 124026]","['19850226', 250799]","['19830531', 131154]","['19870531', 95733]","['19851012', 369183]","['19830220', 258212]","['19890425', 216409]","['19851027', 199024]","['19880916', 381028]","['19880731', 51129]","['19840229', 181143]","['19850520', 202387]","['19820714', 300248]","['19851130', 60418]","['19891202', 176997]","['19880403', 274265]","['19860101', 228593]","['19851005', 372385]","['19851027', 267804]","['19881016', 247827]","['19890831', 145011]","['19830214', 244334]","['19851012', 218336]","['19890815', 298977]","['19851130', 38227]","['19860831', 105503]","['19851026', 214255]","['19861225', 229356]","['19870831', 237629]","['19860115', 367125]","['19850409', 200081]","['19860113', 185259]","['19830501', 91278]","['19820709', 248622]","['19891217', 241602]","['19851001', 31618]","['19820731', 32292]","['19890401', 234801]","['19820701', 53784]","['19850525', 265804]","['19860531', 55797]","['19881017', 237752]","['19820715', 266441]","['19830220', 261817]","['19820712', 404855]","['19850606', 272383]","['19881231', 263082]","['19830228', 99911]","['19850607', 273487]","['19861201', 36318]","['19871111', 289028]","['19891201', 188400]","['19860131', 142147]","['19820201', 108655]","['19891202', 190660]","['19870802', 263662]","['19861231', 104811]","['19820228', 130722]","['19871107', 261105]","['19820703', 308411]","['19820228', 233682]","['19851022', 232497]","['19891201', 242500]","['19830201', 156942]","['19890805', 301979]","['19820707', 311814]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['19871225', 219396]","['19850209', 292571]",,,,,,"['19880430', 194536]","['19890815', 324102]","['19820729', 329805]","['19881017', 299133]","['19830501', 175893]","['19820707', 219622]","['19870524', 236462]","['19880401', 132355]","['19860115', 209023]","['19861231', 257095]","['19871118', 269024]","['19890401', 110646]","['19850201', 106815]","['19820401', 58568]","['19850601', 346426]","['19881210', 218527]","['19860101', 212986]","['19850630', 292983]","['19871101', 281412]","['19850515', 275470]","['19860814', 258285]","['19891217', 219339]","['19820224', 242743]","['19871231', 203194]","['19840201', 207221]","['19891201', 240738]","['19860101', 235704]","['19861226', 263163]","['19891201', 193000]","['19851012', 213845]","['19891201', 202730]","['19850626', 265031]","['19850401', 124026]","['19850226', 250799]","['19830531', 131154]","['19870531', 95733]","['19851012', 369183]","['19830220', 258212]","['19890425', 216409]","['19851027', 199024]","['19870831', 380641]","['19880731', 51129]","['19840229', 181143]","['19850520', 202387]","['19820714', 300248]","['19851130', 60418]","['19891202', 176997]","['19880403', 274265]","['19860101', 228593]","['19851002', 343061]","['19851027', 267804]","['19881017', 237695]","['19890831', 145011]","['19830214', 244334]","['19851012', 218336]","['19890815', 298977]","['19851130', 38227]","['19860831', 105503]","['19851026', 214255]","['19861225', 229356]","['19870831', 237629]","['19871231', 165333]","['19850410', 198507]","['19860113', 185259]","['19830501', 91278]","['19820709', 248622]","['19891217', 241602]","['19851001', 31618]","['19820731', 32292]","['19890401', 234801]","['19820701', 53784]","['19850525', 265804]","['19860531', 55797]","['19881017', 237752]","['19820715', 266441]","['19830220', 261817]","['19820712', 404855]","['19850606', 272383]","['19881231', 263082]","['19830228', 99911]","['19850607', 273487]","['19861201', 36318]","['19871111', 289028]","['19891201', 188400]","['19860131', 142147]","['19820201', 108655]","['19891202', 190660]","['19870802', 263662]","['19861231', 104811]","['19820228', 130722]","['19871104', 251052]","['19820703', 308411]","['19820228', 233682]","['19851022', 232497]","['19891201', 242500]","['19830201', 156942]","['19890805', 301979]","['19820707', 311814]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['19891214', 280093]","['19840217', 333738]",,,,,,"['19880430', 194536]","['19860820', 421323]","['19820731', 333315]","['19881018', 317530]","['19830501', 175893]","['19820717', 372560]","['19820430', 429335]","['19880401', 132355]","['19840201', 222295]","['19830201', 643428]","['19830526', 884982]","['19890401', 110646]","['19850201', 106815]","['19820401', 58568]","['19870520', 695067]","['19891205', 242158]","['19820201', 596853]","['19820704', 368614]","['19871101', 281412]","['19830519', 391723]","['19851003', 690121]","['19891205', 319092]","['19820228', 249346]","['19820201', 425492]","['19840201', 207221]","['19851124', 255405]","['19861227', 278830]","['19830512', 715522]","['19871126', 299921]","['19851015', 224722]","['19891201', 202730]","['19820703', 385169]","['19850401', 124026]","['19850217', 265482]","['19830531', 131154]","['19870531', 95733]","['19820728', 800500]","['19850401', 398602]","['19850424', 255435]","['19851028', 201225]","['19880916', 381028]","['19880731', 51129]","['19840229', 181143]","['19890430', 414175]","['19880713', 356906]","['19851130', 60418]","['19891202', 176997]","['19880407', 301673]","['19891217', 327027]","['19860830', 512359]","['19851109', 403673]","['19851017', 256748]","['19890831', 145011]","['19850205', 341502]","['19851015', 234953]","['19880904', 470338]","['19851130', 38227]","['19860831', 105503]","['19851020', 258411]","['19891214', 316367]","['19870830', 258391]","['19820201', 443718]","['19860501', 310518]","['19850201', 201718]","['19830501', 91278]","['19820717', 299488]","['19861223', 360529]","['19851001', 31618]","['19820731', 32292]","['19890401', 234801]","['19820701', 53784]","['19850525', 265804]","['19860531', 55797]","['19851017', 265416]","['19850630', 352313]","['19850222', 462468]","['19880705', 543284]","['19820701', 501178]","['19881231', 263082]","['19830228', 99911]","['19850527', 499712]","['19861201', 36318]","['19851119', 477245]","['19891201', 188400]","['19860131', 142147]","['19820201', 108655]","['19891202', 190660]","['19820728', 313824]","['19861231', 104811]","['19820228', 130722]","['19820713', 1155000]","['19820704', 308437]","['19840229', 277820]","['19851018', 260118]","['19851119', 309298]","['19830201', 156942]","['19851002', 752356]","['19820706', 322170]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['19861223', 231194]","['19840221', 310121]",,,,,,"['19880430', 194536]","['19890803', 376655]","['19820729', 329805]","['19881017', 299133]","['19830501', 175893]","['19820713', 295208]","['19870524', 236462]","['19880401', 132355]","['19840201', 222295]","['19861227', 277132]","['19850609', 801360]","['19890401', 110646]","['19850201', 106815]","['19820401', 58568]","['19850528', 390857]","['19881210', 218527]","['19861221', 363852]","['19820707', 319698]","['19871101', 281412]","['19870515', 281548]","['19880730', 447853]","['19891215', 226884]","['19820224', 242743]","['19820201', 425492]","['19840201', 207221]","['19851122', 251403]","['19860103', 239962]","['19861226', 263163]","['19891201', 193000]","['19851012', 213845]","['19891201', 202730]","['19820701', 379187]","['19850401', 124026]","['19850215', 262360]","['19830531', 131154]","['19870531', 95733]","['19881016', 435397]","['19850401', 398602]","['19890425', 216409]","['19851027', 199024]","['19880916', 381028]","['19880731', 51129]","['19840229', 181143]","['19850525', 216591]","['19820714', 300248]","['19851130', 60418]","['19891202', 176997]","['19880403', 274265]","['19860101', 228593]","['19860831', 497588]","['19851029', 269975]","['19851017', 256748]","['19890831', 145011]","['19820217', 310820]","['19851012', 218336]","['19890803', 353383]","['19851130', 38227]","['19860831', 105503]","['19851026', 214255]","['19861223', 236440]","['19870831', 237629]","['19860121', 421649]","['19860501', 310518]","['19850201', 201718]","['19830501', 91278]","['19820713', 263434]","['19891216', 245184]","['19851001', 31618]","['19820731', 32292]","['19890401', 234801]","['19820701', 53784]","['19850525', 265804]","['19860531', 55797]","['19851017', 265416]","['19820715', 266441]","['19850401', 426749]","['19820709', 408250]","['19850606', 272383]","['19881231', 263082]","['19830228', 99911]","['19850607', 273487]","['19861201', 36318]","['19871111', 289028]","['19891201', 188400]","['19860131', 142147]","['19820201', 108655]","['19891202', 190660]","['19820728', 313824]","['19861231', 104811]","['19820228', 130722]","['19871115', 310252]","['19820703', 308411]","['19820228', 233682]","['19851022', 232497]","['19871125', 276838]","['19830201', 156942]","['19860831', 393160]","['19820707', 311814]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['19871223', 213311]","['19850209', 292571]",,,,,,"['19880430', 194536]","['19890813', 332277]","['19820729', 329805]","['19881017', 299133]","['19830501', 175893]","['19820707', 219622]","['19870524', 236462]","['19880401', 132355]","['19860115', 209023]","['19861231', 257095]","['19871118', 269024]","['19890401', 110646]","['19850201', 106815]","['19820401', 58568]","['19850601', 346426]","['19881210', 218527]","['19860107', 242576]","['19850630', 292983]","['19871101', 281412]","['19850515', 275470]","['19860816', 258955]","['19891217', 219339]","['19820224', 242743]","['19860115', 368928]","['19840201', 207221]","['19891201', 240738]","['19860101', 235704]","['19861226', 263163]","['19891201', 193000]","['19851012', 213845]","['19891201', 202730]","['19850628', 267779]","['19850401', 124026]","['19850226', 250799]","['19830531', 131154]","['19870531', 95733]","['19851012', 369183]","['19830220', 258212]","['19890425', 216409]","['19851027', 199024]","['19880916', 381028]","['19880731', 51129]","['19840229', 181143]","['19850520', 202387]","['19820714', 300248]","['19851130', 60418]","['19891202', 176997]","['19880403', 274265]","['19860101', 228593]","['19851006', 376617]","['19851027', 267804]","['19851017', 256748]","['19890831', 145011]","['19830214', 244334]","['19851012', 218336]","['19890815', 298977]","['19851130', 38227]","['19860831', 105503]","['19851026', 214255]","['19871225', 226437]","['19870831', 237629]","['19860115', 367125]","['19850408', 203629]","['19860113', 185259]","['19830501', 91278]","['19820709', 248622]","['19891217', 241602]","['19851001', 31618]","['19820731', 32292]","['19890401', 234801]","['19820701', 53784]","['19850525', 265804]","['19860531', 55797]","['19881017', 237752]","['19820715', 266441]","['19830220', 261817]","['19820712', 404855]","['19850606', 272383]","['19881231', 263082]","['19830228', 99911]","['19850607', 273487]","['19861201', 36318]","['19871111', 289028]","['19891201', 188400]","['19860131', 142147]","['19820201', 108655]","['19891202', 190660]","['19870802', 263662]","['19861231', 104811]","['19820228', 130722]","['19871103', 252216]","['19820703', 308411]","['19820228', 233682]","['19851022', 232497]","['19891201', 242500]","['19830201', 156942]","['19890805', 301979]","['19820707', 311814]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['19871223', 213311]","['19850209', 292571]",,,,,,"['19880430', 194536]","['19890815', 324102]","['19820729', 329805]","['19881017', 299133]","['19830501', 175893]","['19820707', 219622]","['19870524', 236462]","['19880401', 132355]","['19860115', 209023]","['19861231', 257095]","['19871118', 269024]","['19890401', 110646]","['19850201', 106815]","['19820401', 58568]","['19850601', 346426]","['19881210', 218527]","['19860101', 212986]","['19850630', 292983]","['19871101', 281412]","['19850515', 275470]","['19860814', 258285]","['19891217', 219339]","['19820224', 242743]","['19871231', 203194]","['19840201', 207221]","['19891201', 240738]","['19860101', 235704]","['19861226', 263163]","['19891201', 193000]","['19851012', 213845]","['19891201', 202730]","['19850626', 265031]","['19850401', 124026]","['19850226', 250799]","['19830531', 131154]","['19870531', 95733]","['19851012', 369183]","['19830220', 258212]","['19890425', 216409]","['19851027', 199024]","['19870831', 380641]","['19880731', 51129]","['19840229', 181143]","['19850520', 202387]","['19820714', 300248]","['19851130', 60418]","['19891202', 176997]","['19880403', 274265]","['19860101', 228593]","['19851001', 332185]","['19851027', 267804]","['19881017', 237695]","['19890831', 145011]","['19830214', 244334]","['19851012', 218336]","['19890815', 298977]","['19851130', 38227]","['19860831', 105503]","['19851026', 214255]","['19871224', 223853]","['19870831', 237629]","['19871231', 165333]","['19850410', 198507]","['19860113', 185259]","['19830501', 91278]","['19820709', 248622]","['19881213', 236671]","['19851001', 31618]","['19820731', 32292]","['19890401', 234801]","['19820701', 53784]","['19850525', 265804]","['19860531', 55797]","['19881017', 237752]","['19820715', 266441]","['19830220', 261817]","['19820712', 404855]","['19850606', 272383]","['19881231', 263082]","['19830228', 99911]","['19850607', 273487]","['19861201', 36318]","['19871111', 289028]","['19891201', 188400]","['19860131', 142147]","['19820201', 108655]","['19891202', 190660]","['19870802', 263662]","['19861231', 104811]","['19820228', 130722]","['19871104', 251052]","['19820703', 308411]","['19820228', 233682]","['19851022', 232497]","['19891201', 242500]","['19830201', 156942]","['19890805', 301979]","['19820707', 311814]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['19891217', 234973]","['19850203', 346152]",,,,,,"['19880430', 194536]","['19820731', 558526]","['19820731', 333315]","['19881018', 317530]","['19830501', 175893]","['19820717', 372560]","['19870524', 236462]","['19880401', 132355]","['19840201', 222295]","['19861228', 274148]","['19850608', 800754]","['19890401', 110646]","['19850201', 106815]","['19820401', 58568]","['19870531', 556994]","['19891206', 241231]","['19860107', 242576]","['19820707', 319698]","['19871101', 281412]","['19830519', 391723]","['19851001', 619586]","['19891211', 264471]","['19820228', 249346]","['19860121', 419719]","['19840201', 207221]","['19851124', 255405]","['19861220', 464548]","['19861226', 263163]","['19871126', 299921]","['19851014', 222481]","['19891201', 202730]","['19820703', 385169]","['19850401', 124026]","['19850216', 263770]","['19830530', 147786]","['19870531', 95733]","['19881010', 490730]","['19850401', 398602]","['19830502', 489437]","['19851108', 333701]","['19880916', 381028]","['19880731', 51129]","['19840229', 181143]","['19830523', 553103]","['19880713', 356906]","['19851130', 60418]","['19891202', 176997]","['19880406', 291114]","['19860101', 228593]","['19860830', 512359]","['19851116', 601697]","['19851017', 256748]","['19890831', 145011]","['19850216', 352326]","['19851014', 230941]","['19880918', 640490]","['19851130', 38227]","['19860831', 105503]","['19851018', 298100]","['19891217', 263914]","['19870830', 258391]","['19860121', 421649]","['19860501', 310518]","['19850201', 201718]","['19830501', 91278]","['19820717', 299488]","['19861204', 409801]","['19851001', 31618]","['19820731', 32292]","['19890401', 234801]","['19820701', 53784]","['19850526', 268505]","['19860531', 55797]","['19851016', 276136]","['19850630', 352313]","['19850222', 462468]","['19880705', 543284]","['19820701', 501178]","['19881231', 263082]","['19830228', 99911]","['19850607', 273487]","['19861201', 36318]","['19851120', 506115]","['19891201', 188400]","['19860130', 148935]","['19820201', 108655]","['19891202', 190660]","['19820728', 313824]","['19861231', 104811]","['19820228', 130722]","['19851126', 870895]","['19820704', 308437]","['19860131', 299913]","['19851018', 260118]","['19851125', 305316]","['19830201', 156942]","['19851001', 711709]","['19850629', 352748]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['19861224', 230145]","['19850207', 299828]",,,,,,"['19880430', 194536]","['19860815', 381865]","['19820729', 329805]","['19881017', 299133]","['19830501', 175893]","['19820713', 295208]","['19870524', 236462]","['19880401', 132355]","['19860115', 209023]","['19861231', 257095]","['19850606', 785365]","['19890401', 110646]","['19850201', 106815]","['19820401', 58568]","['19850604', 350139]","['19881210', 218527]","['19860105', 237291]","['19820707', 319698]","['19871101', 281412]","['19870515', 281548]","['19860830', 289919]","['19891215', 226884]","['19820224', 242743]","['19860115', 368928]","['19840201', 207221]","['19891201', 240738]","['19860101', 235704]","['19861226', 263163]","['19891201', 193000]","['19851012', 213845]","['19891201', 202730]","['19850628', 267779]","['19850401', 124026]","['19850215', 262360]","['19830531', 131154]","['19870531', 95733]","['19851017', 387831]","['19850401', 398602]","['19890425', 216409]","['19851027', 199024]","['19880916', 381028]","['19880731', 51129]","['19840229', 181143]","['19850525', 216591]","['19820715', 300456]","['19851130', 60418]","['19891202', 176997]","['19880403', 274265]","['19860101', 228593]","['19860831', 497588]","['19851104', 318359]","['19851017', 256748]","['19890831', 145011]","['19850206', 340928]","['19851012', 218336]","['19890811', 320479]","['19851130', 38227]","['19860831', 105503]","['19851025', 214282]","['19861225', 229356]","['19870831', 237629]","['19860115', 367125]","['19860501', 310518]","['19860113', 185259]","['19830501', 91278]","['19820713', 263434]","['19861215', 304291]","['19851001', 31618]","['19820731', 32292]","['19890401', 234801]","['19820701', 53784]","['19850525', 265804]","['19860531', 55797]","['19851017', 265416]","['19820715', 266441]","['19850207', 457226]","['19880709', 529807]","['19850606', 272383]","['19881231', 263082]","['19830228', 99911]","['19850607', 273487]","['19861201', 36318]","['19871111', 289028]","['19891201', 188400]","['19860131', 142147]","['19820201', 108655]","['19891202', 190660]","['19820728', 313824]","['19861231', 104811]","['19820228', 130722]","['19871115', 310252]","['19820703', 308411]","['19820228', 233682]","['19851022', 232497]","['19891201', 242500]","['19830201', 156942]","['19890810', 327117]","['19850630', 335979]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['19871223', 213311]","['19850209', 292571]",,,,,,"['19880430', 194536]","['19890815', 324102]","['19820729', 329805]","['19881017', 299133]","['19830501', 175893]","['19820707', 219622]","['19870524', 236462]","['19880401', 132355]","['19860115', 209023]","['19861231', 257095]","['19871118', 269024]","['19890401', 110646]","['19850201', 106815]","['19820401', 58568]","['19850601', 346426]","['19881210', 218527]","['19860101', 212986]","['19850630', 292983]","['19871101', 281412]","['19850515', 275470]","['19860816', 258955]","['19891217', 219339]","['19820224', 242743]","['19860115', 368928]","['19840201', 207221]","['19891201', 240738]","['19860101', 235704]","['19861226', 263163]","['19891201', 193000]","['19851012', 213845]","['19891201', 202730]","['19850626', 265031]","['19850401', 124026]","['19850226', 250799]","['19830531', 131154]","['19870531', 95733]","['19851012', 369183]","['19830220', 258212]","['19890425', 216409]","['19851027', 199024]","['19880916', 381028]","['19880731', 51129]","['19840229', 181143]","['19850520', 202387]","['19820714', 300248]","['19851130', 60418]","['19891202', 176997]","['19880403', 274265]","['19860101', 228593]","['19851005', 372385]","['19851027', 267804]","['19851017', 256748]","['19890831', 145011]","['19830214', 244334]","['19851012', 218336]","['19890815', 298977]","['19851130', 38227]","['19860831', 105503]","['19851026', 214255]","['19871224', 223853]","['19870831', 237629]","['19860115', 367125]","['19850421', 206703]","['19860113', 185259]","['19830501', 91278]","['19820709', 248622]","['19891217', 241602]","['19851001', 31618]","['19820731', 32292]","['19890401', 234801]","['19820701', 53784]","['19850525', 265804]","['19860531', 55797]","['19851017', 265416]","['19820715', 266441]","['19830220', 261817]","['19820712', 404855]","['19850606', 272383]","['19881231', 263082]","['19830228', 99911]","['19850607', 273487]","['19861201', 36318]","['19871111', 289028]","['19891201', 188400]","['19860131', 142147]","['19820201', 108655]","['19891202', 190660]","['19870802', 263662]","['19861231', 104811]","['19820228', 130722]","['19871110', 269190]","['19820703', 308411]","['19820228', 233682]","['19851022', 232497]","['19891201', 242500]","['19830201', 156942]","['19890805', 301979]","['19820707', 311814]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['19871223', 213311]","['19850209', 292571]",,,,,,"['19880430', 194536]","['19890815', 324102]","['19820729', 329805]","['19881017', 299133]","['19830501', 175893]","['19820707', 219622]","['19870524', 236462]","['19880401', 132355]","['19860115', 209023]","['19861231', 257095]","['19871118', 269024]","['19890401', 110646]","['19850201', 106815]","['19820401', 58568]","['19850601', 346426]","['19881210', 218527]","['19860101', 212986]","['19850630', 292983]","['19871101', 281412]","['19850515', 275470]","['19860814', 258285]","['19891217', 219339]","['19820224', 242743]","['19871231', 203194]","['19840201', 207221]","['19891201', 240738]","['19860101', 235704]","['19861226', 263163]","['19891201', 193000]","['19851012', 213845]","['19891201', 202730]","['19850626', 265031]","['19850401', 124026]","['19850226', 250799]","['19830531', 131154]","['19870531', 95733]","['19851012', 369183]","['19830220', 258212]","['19890425', 216409]","['19851027', 199024]","['19870831', 380641]","['19880731', 51129]","['19840229', 181143]","['19850520', 202387]","['19820714', 300248]","['19851130', 60418]","['19891202', 176997]","['19880403', 274265]","['19860101', 228593]","['19851001', 332185]","['19851027', 267804]","['19881017', 237695]","['19890831', 145011]","['19830214', 244334]","['19851012', 218336]","['19890815', 298977]","['19851130', 38227]","['19860831', 105503]","['19851026', 214255]","['19871224', 223853]","['19870831', 237629]","['19871231', 165333]","['19850410', 198507]","['19860113', 185259]","['19830501', 91278]","['19820709', 248622]","['19881220', 231982]","['19851001', 31618]","['19820731', 32292]","['19890401', 234801]","['19820701', 53784]","['19850525', 265804]","['19860531', 55797]","['19881017', 237752]","['19820715', 266441]","['19830220', 261817]","['19820712', 404855]","['19850606', 272383]","['19881231', 263082]","['19830228', 99911]","['19850607', 273487]","['19861201', 36318]","['19871111', 289028]","['19891201', 188400]","['19860131', 142147]","['19820201', 108655]","['19891202', 190660]","['19870802', 263662]","['19861231', 104811]","['19820228', 130722]","['19871104', 251052]","['19820703', 308411]","['19820228', 233682]","['19851022', 232497]","['19891201', 242500]","['19830201', 156942]","['19890805', 301979]","['19820707', 311814]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
